flight_id,flight_number,origin_airport_id,destination_airport_id,airline_id,plane_id
385d53d6,AM70,MMMX,LIRF,AMX,B788
385d5407,SQ326,WSSS,EDDF,SIA,A388
385d5411,AR1132,SAEZ,LEMD,ARG,A332
385d54d1,AF483,SPJC,LFPG,AFR,B772
385d550e,EY4,KJFK,OMAA,ETD,B789
385d558b,CV6941,KIAH,ELLX,CLX,B744
385d55cb,TK204,KSEA,LTFM,THY,A359
385d55f8,MU269,ZSPD,OERK,CES,A332
385d565e,UQ2572,ZHHH,ZWWW,CUH,B738
385d56ae,LX161,RJAA,LSZH,SWR,B77W
385d56be,MU545,ZSPD,WSSS,CES,A332
385d56d7,CSG2573,ZGGG,EHAM,CSG,B77L
385d57a4,SQ23,KJFK,WSSS,SIA,A359
385d57eb,UA916,NZAA,KSFO,UAL,B772
385d58bc,EK238,KBOS,OMDB,UAE,B77W
385d58df,LA8084,SBGR,EGLL,LAN,B77W
385d58f1,LH499,MMMX,EDDF,DLH,B748
385d593a,PR684,RPLL,OTHH,PAL,A333
385d5a0f,TK202,KDEN,LTFM,THY,A359
385d5b8e,KE901,RKSI,LFPG,KAL,B77W
385d5c42,TK80,KSFO,LTFM,THY,B789
385d5c71,BR651,PANC,RCTP,EVA,B77L
385d5cc3,TK12,KJFK,LTFM,THY,B77W
385d5d82,LX41,KLAX,LSZH,SWR,B77W
385d5db5,TK78,KMIA,LTFM,THY,B77W
385d5e04,BA168,ZSPD,EGLL,BAW,B789
385d5e3e,AA440,KALB,KCLT,AAL,A319
385d5ec8,LA801,SCEL,NZAA,LAN,B789
385d5ee6,BR6,RCTP,KLAX,EVA,B77W
385d5f9f,CA935,ZSPD,EDDF,CCA,A359
385d5fca,OZ521,RKSI,EGLL,AAR,A359
385d6052,KE927,RKSI,LIMC,KAL,B77W
385d6080,PR112,RPLL,KLAX,PAL,B77W
385d60b3,ET3711,EBLG,FAOR,ETH,B77L
385d6197,WN1277,KMIA,KDEN,SWA,B38M
385d621e,OZ281,KLAX,RKSI,AAR,B744
385d6224,AY152,VTSP,EFHK,FIN,A359
385d6262,DE2125,MMSD,EDDF,CFG,A339
385d63f7,SQ35,KLAX,WSSS,SIA,A359
385d6404,KE961,RKSI,LHBP,KAL,B789
385d64ce,I98867,ZGSZ,EDDP,DHK,B77L
385d6506,NZ3,KLAX,NZAA,ANZ,B77W
385d6519,KL896,ZSPD,EHAM,KLM,B772
385d6520,NZ7,KSFO,NZAA,ANZ,B789
385d6593,KL686,MMMX,EHAM,KLM,B789
385d65c4,LA2484,SPJC,LEMD,LAN,B788
385d66ad,GF125,ZSPD,OBBI,GFA,B789
